Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-03-12T04:00:00.000Z,14.970000267,15.1999998093,13.8100004196,13.8400001526,0,0.0,0.0
2024-03-13T04:00:00.000Z,13.8900003433,14.0399999619,13.6700000763,13.75,0,0.0,0.0
2024-03-14T04:00:00.000Z,13.6199998856,15.3299999237,13.4200000763,14.3999996185,0,0.0,0.0
2024-03-15T04:00:00.000Z,14.3299999237,15.529999733,14.1400003433,14.4099998474,0,0.0,0.0
2024-03-18T04:00:00.000Z,14.75,14.8500003815,14.2600002289,14.3299999237,0,0.0,0.0
2024-03-19T04:00:00.000Z,14.5,14.8599996567,13.8000001907,13.8199996948,0,0.0,0.0
2024-03-20T04:00:00.000Z,13.8299999237,14.1700000763,13.0100002289,13.0399999619,0,0.0,0.0
2024-03-21T04:00:00.000Z,12.9799995422,13.0799999237,12.3999996185,12.9200000763,0,0.0,0.0
2024-03-22T04:00:00.000Z,12.9200000763,13.1499996185,12.5799999237,13.0600004196,0,0.0,0.0
2024-03-25T04:00:00.000Z,13.6700000763,13.6700000763,13.1099996567,13.1899995804,0,0.0,0.0
2024-03-26T04:00:00.000Z,13.1199998856,13.4300003052,12.8400001526,13.2399997711,0,0.0,0.0
2024-03-27T04:00:00.000Z,13.1300001144,13.3400001526,12.6599998474,12.779999733,0,0.0,0.0
2024-03-28T04:00:00.000Z,12.9300003052,13.1000003815,12.8400001526,13.0100002289,0,0.0,0.0
2024-04-01T04:00:00.000Z,13.6099996567,14.1499996185,13.5500001907,13.6499996185,0,0.0,0.0
2024-04-02T04:00:00.000Z,13.7399997711,15.4300003052,13.6800003052,14.6099996567,0,0.0,0.0
2024-04-03T04:00:00.000Z,15.0,15.1800003052,14.25,14.3299999237,0,0.0,0.0
2024-04-04T04:00:00.000Z,14.2899999619,16.9200000763,13.7399997711,16.3500003815,0,0.0,0.0
2024-04-05T04:00:00.000Z,16.4500007629,16.75,15.529999733,16.0300006866,0,0.0,0.0
2024-04-08T04:00:00.000Z,16.2399997711,16.5,15.1099996567,15.1899995804,0,0.0,0.0
2024-04-09T04:00:00.000Z,15.3400001526,16.6299991608,14.9399995804,14.9799995422,0,0.0,0.0
2024-04-10T04:00:00.000Z,15.2399997711,16.6200008392,14.5900001526,15.8000001907,0,0.0,0.0
2024-04-11T04:00:00.000Z,16.0200004578,17.6100006104,14.9099998474,14.9099998474,0,0.0,0.0
2024-04-12T04:00:00.000Z,14.9099998474,19.2000007629,14.9099998474,17.3099994659,0,0.0,0.0
2024-04-15T04:00:00.000Z,16.9400005341,19.4599990845,16.2600002289,19.2299995422,0,0.0,0.0
2024-04-16T04:00:00.000Z,19.4899997711,19.5599994659,17.6399993896,18.3999996185,0,0.0,0.0
2024-04-17T04:00:00.000Z,18.2399997711,19.1100006104,17.5400009155,18.2099990845,0,0.0,0.0
2024-04-18T04:00:00.000Z,17.9099998474,18.3700008392,17.2099990845,18.0,0,0.0,0.0
2024-04-19T04:00:00.000Z,21.3299999237,21.3600006104,18.1700000763,18.7099990845,0,0.0,0.0
2024-04-22T04:00:00.000Z,18.5900001526,18.7199993134,16.6900005341,16.9400005341,0,0.0,0.0
2024-04-23T04:00:00.000Z,16.7199993134,16.7600002289,15.6899995804,15.6899995804,0,0.0,0.0
2024-04-24T04:00:00.000Z,15.7600002289,16.3799991608,15.5799999237,15.970000267,0,0.0,0.0
2024-04-25T04:00:00.000Z,16.25,17.5499992371,15.2700004578,15.3699998856,0,0.0,0.0
2024-04-26T04:00:00.000Z,15.4899997711,16.0599994659,14.9200000763,15.029999733,0,0.0,0.0
