name,type,asset,timeframe,score,total_return,annualized_return,cagr,volatility,max_drawdown,max_drawdown_duration,downside_deviation,var_95,cvar_95,sharpe_ratio,sortino_ratio,calmar_ratio,omega_ratio,num_trades,win_rate,profit_factor,avg_trade_return,avg_win,avg_loss,largest_win,largest_loss,win_loss_ratio,expectancy,return_consistency,positive_months_pct,parameter_stability,walk_forward_score,implementation_ease
RSI_MR_21_30_80_BTC,RSI_MEAN_REVERSION,BTC,1d,69.86713199227648,0.06303978957449985,0.01229647446634985,0.01229647446634985,0.011706791037870676,-0.009106564283146717,445,0.03217915679764868,0.0,-2.3457645518240365e-05,0.7261066403242424,0.26415790702469083,1.35028690118694,2.4571227389824566,38,0.631578947368421,2.457122738982466,0.016217827800993546,0.04330078354715117,-0.030210096335276656,0.15128717214221651,-0.0728297818417056,1.433321597739772,0.016217827800993546,0.0038651519392078814,0.25,0.0,1.0,5
RSI_MR_14_40_80_BTC,RSI_MEAN_REVERSION,BTC,1d,57.042677848718526,0.140992165087229,0.026719544884888702,0.026719544884888702,0.03465956547498787,-0.04162079607595105,280,0.0727711994632917,0.0,-0.00016820009677583222,0.5421362390346395,0.2582093824448117,0.6419758246846111,1.4581008070200716,110,0.5363636363636364,1.4581008070200727,0.01238445426641725,0.07349267254750184,-0.05830936688228846,0.31775643545186494,-0.2043939005185079,1.2603922230173508,0.012384454266417249,0.011543348382309774,0.5,0.15167263605442372,1.0,5
RSI_MR_21_40_80_BTC,RSI_MEAN_REVERSION,BTC,1d,54.430574393190625,0.08115023993928405,0.01572099095216717,0.01572099095216717,0.023165089382045062,-0.05332885696809742,637,0.06020538749160713,0.0,-9.828531450647869e-05,0.47613586833201016,0.18320171013675882,0.2947933229015547,1.4568254962723792,83,0.5542168674698795,1.456825496272376,0.009634402665341851,0.0554373233170383,-0.04730976895568617,0.19521651929139697,-0.17383323983953003,1.1717944209147375,0.009634402665341851,0.008045679849856512,0.36666666666666664,0.0,1.0,5
MA_Cross_20_200_QQQ,MA_CROSSOVER,QQQ,1d,52.47882227931496,0.09624278877714554,0.01853996306572303,0.01853996306572303,0.06582178434866702,-0.039006524045095754,563,0.19294799729879095,0.0,-6.046628866189822e-05,0.22259346458939794,0.0759349629368649,0.4753041579477533,1.965240122395956,14,0.5,1.965240122395954,0.07587383422949169,0.30896001897991887,-0.1572123505209355,1.6723695313354823,-0.39006524045095725,1.965240122395954,0.07587383422949169,0.02355375103889761,0.06666666666666667,0.816691444694494,0.0,5
MA_Cross_30_200_QQQ,MA_CROSSOVER,QQQ,1d,51.43616536602128,0.06680524301074264,0.01301230898012462,0.01301230898012462,0.05938837372641085,-0.04574267433673341,620,0.25301911760463647,0.0,-4.973901251182269e-05,0.17759628593167504,0.041685208221355234,0.28446760424051454,1.8433143513193897,8,0.5,1.8433143513193921,0.09558358857457898,0.4178527266717896,-0.2266855495226316,1.5032102506026948,-0.4574267433673335,1.8433143513193921,0.09558358857457899,0.020774148175082528,0.06666666666666667,0.7867373703890405,0.0,5
RSI_MR_14_40_70_BTC,RSI_MEAN_REVERSION,BTC,1d,49.84246574170213,0.09433213194563561,0.018184815607954707,0.018184815607954707,0.045643141392613454,-0.05125270706692701,453,0.15114346745702376,0.0,-0.00024642208283286263,0.2953793165316544,0.08920028192909707,0.35480692920685225,1.226531105722931,134,0.5671641791044776,1.226531105722931,0.007294387264147893,0.06963550741841107,-0.0743939770759211,0.31775643545186494,-0.5125270706692694,0.936036896472763,0.0072943872641478835,0.015208987977496676,0.6166666666666667,0.0,1.0,5
RSI_MR_14_40_80_QQQ,RSI_MEAN_REVERSION,QQQ,1d,49.528651218860134,0.03248470433969031,0.006411487814918182,0.006411487814918182,0.015633223942250786,-0.018476978024452095,300,0.03246297961979971,0.0,-8.238932373170037e-05,0.28984341779091094,0.13958013440482278,0.3469987249231631,1.2252712627126683,113,0.504424778761062,1.225271262712664,0.0029071775375412584,0.031347405119180036,-0.026040911250912503,0.18028555611374622,-0.08674129313625277,1.203775275647529,0.0029071775375412567,0.00507998187963143,0.45,0.0,1.0,5
BB_30_2.0_QQQ,BOLLINGER_BANDS,QQQ,1d,49.06507933519168,0.02361717023358123,0.004677508985892143,0.004677508985892143,0.013504185609585781,-0.03827005174085875,249,0.04567940439653324,0.0,-6.81498721414962e-05,0.2451799218980567,0.07248245060976283,0.12222374345259203,1.1987753581036547,104,0.5288461538461539,1.1987753581036584,0.002308117788908639,0.026321090625341936,-0.024645219068312404,0.11040129157093566,-0.1544053087001092,1.0679998644923503,0.0023081177889086417,0.00548912025285127,0.48333333333333334,0.20796994720483075,1.0,5
MA_Cross_30_200_SPY,MA_CROSSOVER,SPY,1d,48.61744793056375,0.06324427947640676,0.012335401232842047,0.012335401232842047,0.04972407430425538,-0.03441311535472896,565,0.18421077170732986,0.0,-4.2089151955332773e-05,0.1932802397446572,0.05217219879995331,0.35845058216000625,1.9081034486688775,10,0.4,1.9081034486688833,0.06967743726890567,0.366014903208693,-0.12788087335761925,1.2686870547448468,-0.34413115354729007,2.862155173003325,0.06967743726890567,0.017387622708614076,0.06666666666666667,0.7017131730559811,0.0,5
RSI_MR_14_40_70_QQQ,RSI_MEAN_REVERSION,QQQ,1d,48.517409421029384,0.026488370219915458,0.005240261525751411,0.005240261525751411,0.019582474659716905,-0.02392214280352703,439,0.05793730850308787,0.0,-0.00011153303541250586,0.19394387179770692,0.06555190520601357,0.21905485511017006,1.1409107146557025,140,0.5357142857142857,1.1409107146557,0.0019667701373516327,0.0297254213287511,-0.030062442775801605,0.18028555611374622,-0.20516596837565984,0.9887892860349398,0.0019667701373516297,0.006326388883198321,0.6,0.0,1.0,5
