iter	Logloss
0	0.5702236869
1	0.4461822599
2	0.3548462444
3	0.2960570213
4	0.2426059032
5	0.2003512148
6	0.1684127461
7	0.137807277
8	0.1178477521
9	0.1007551501
10	0.08306234584
11	0.06967198652
12	0.05951767553
13	0.05060180902
14	0.04376251592
15	0.03915569908
16	0.03426677647
17	0.03096202656
18	0.02731786449
19	0.02392380852
20	0.02135085343
21	0.01887588597
22	0.01657704977
23	0.01450391357
24	0.01299111858
25	0.0120136121
26	0.01064736837
27	0.009536321523
28	0.00871559038
29	0.008034745882
30	0.007497369423
31	0.006860146343
32	0.006374590486
33	0.005970752134
34	0.005455152851
35	0.005200061234
36	0.00487042168
37	0.004477941954
38	0.004188594568
39	0.003931925226
40	0.003654972022
41	0.003445746747
42	0.003306452119
43	0.003120539601
44	0.00292787273
45	0.002781354803
46	0.002614128695
47	0.002551768056
48	0.002439471457
49	0.002324855977
50	0.002252988805
51	0.002164177908
52	0.0020724033
53	0.002012093486
54	0.001923189966
55	0.001829295597
56	0.001751475818
57	0.001696377786
58	0.001648632162
59	0.001586945881
60	0.001547681468
61	0.001502358675
62	0.001468203205
63	0.001426328707
64	0.001369702112
