timestamp,open,high,low,close,volume
2026-02-11 19:00:00,0.09109,0.0914,0.09087,0.09114,9293481.0
2026-02-11 19:15:00,0.09114,0.09131,0.09079,0.09082,3161372.0
2026-02-11 19:30:00,0.09081,0.09138,0.09062,0.09135,3956649.0
2026-02-11 19:45:00,0.09135,0.09142,0.09099,0.09107,3102460.0
2026-02-11 20:00:00,0.09106,0.09106,0.09045,0.09084,5279382.0
2026-02-11 20:15:00,0.09084,0.09096,0.09032,0.09045,3208279.0
2026-02-11 20:30:00,0.09044,0.09085,0.09041,0.09081,2517819.0
2026-02-11 20:45:00,0.0908,0.09131,0.09077,0.09113,4918558.0
2026-02-11 21:00:00,0.09114,0.09141,0.09095,0.09136,4754751.0
2026-02-11 21:15:00,0.09136,0.09204,0.09122,0.09199,11314706.0
2026-02-11 21:30:00,0.092,0.09227,0.09178,0.09189,12863075.0
2026-02-11 21:45:00,0.0919,0.09214,0.09178,0.09198,6182902.0
2026-02-11 22:00:00,0.09198,0.092,0.09162,0.09188,4901897.0
2026-02-11 22:15:00,0.09188,0.09196,0.09139,0.09156,2513273.0
2026-02-11 22:30:00,0.09157,0.09167,0.09092,0.09136,12295253.0
2026-02-11 22:45:00,0.09135,0.09145,0.0909,0.09102,3061530.0
2026-02-11 23:00:00,0.09103,0.09133,0.09084,0.091,9074466.0
2026-02-11 23:15:00,0.091,0.09115,0.0905,0.09071,10417035.0
2026-02-11 23:30:00,0.0907,0.09105,0.09051,0.09104,3120932.0
2026-02-11 23:45:00,0.09103,0.09129,0.09094,0.09112,5392196.0
2026-02-12 00:00:00,0.09113,0.09163,0.09112,0.09147,7269665.0
2026-02-12 00:15:00,0.09147,0.09165,0.09121,0.09133,4017915.0
2026-02-12 00:30:00,0.09134,0.09191,0.09131,0.09173,3040679.0
2026-02-12 00:45:00,0.09173,0.09186,0.09155,0.09157,2499722.0
2026-02-12 01:00:00,0.09157,0.09185,0.09157,0.09179,1916019.0
2026-02-12 01:15:00,0.09178,0.09203,0.09167,0.09179,3053629.0
2026-02-12 01:30:00,0.09179,0.09199,0.09167,0.09169,4316424.0
2026-02-12 01:45:00,0.09168,0.09171,0.09152,0.09155,4544186.0
2026-02-12 02:00:00,0.09155,0.09191,0.09151,0.0916,4002718.0
2026-02-12 02:15:00,0.0916,0.09161,0.09136,0.09146,5159530.0
2026-02-12 02:30:00,0.09145,0.09197,0.09143,0.09188,2501721.0
2026-02-12 02:45:00,0.09189,0.09189,0.09162,0.09163,2011233.0
2026-02-12 03:00:00,0.09163,0.09193,0.09154,0.09185,1686288.0
2026-02-12 03:15:00,0.09185,0.09187,0.09157,0.0918,3738655.0
2026-02-12 03:30:00,0.09179,0.09214,0.09174,0.09209,3561608.0
2026-02-12 03:45:00,0.0921,0.09229,0.09201,0.09218,2916980.0
2026-02-12 04:00:00,0.09218,0.09224,0.09201,0.09213,2748103.0
2026-02-12 04:15:00,0.09213,0.09215,0.09181,0.09189,3976814.0
2026-02-12 04:30:00,0.0919,0.09219,0.09168,0.09213,3405090.0
2026-02-12 04:45:00,0.09212,0.0922,0.09184,0.09185,59661235.0
2026-02-12 05:00:00,0.09184,0.09204,0.09158,0.09163,3704674.0
2026-02-12 05:15:00,0.09163,0.0919,0.09149,0.0918,8183236.0
2026-02-12 05:30:00,0.09179,0.09216,0.09173,0.09207,3616196.0
