threshold,trades,mean_pnl,net_mean_pnl,win_rate
0.45,330,0.5864848484848485,0.3864848484848485,0.6545454545454545
0.46,330,0.5864848484848485,0.3864848484848485,0.6545454545454545
0.47,330,0.5864848484848485,0.3864848484848485,0.6545454545454545
0.48,330,0.5864848484848485,0.3864848484848485,0.6545454545454545
0.49,330,0.5864848484848485,0.3864848484848485,0.6545454545454545
0.5,329,0.5882066869300911,0.38820668693009114,0.6534954407294833
0.51,329,0.5882066869300911,0.38820668693009114,0.6534954407294833
0.52,329,0.5882066869300911,0.38820668693009114,0.6534954407294833
0.53,328,0.6021341463414634,0.40213414634146344,0.6554878048780488
0.54,328,0.6021341463414634,0.40213414634146344,0.6554878048780488
0.55,327,0.604189602446483,0.404189602446483,0.6574923547400612
0.56,326,0.6052453987730061,0.4052453987730061,0.656441717791411
0.57,325,0.6103384615384615,0.4103384615384615,0.6584615384615384
0.58,321,0.6390342679127726,0.4390342679127726,0.6635514018691588
0.59,264,0.6802272727272728,0.4802272727272728,0.6553030303030303
0.6,141,0.7419148936170212,0.5419148936170213,0.6453900709219859
