symbol,funding_time,entry_time,exit_time,funding_rate,direction,entry_px,exit_px,gross_bps,net_bps,sl_hit,hold_hours,year
BTCUSDT,2024-03-05 08:00:00+00:00,2024-03-05 08:00:00+00:00,2024-03-05 08:00:00+00:00,0.00082969,-1,66223.8,66306.217836933,-12.42988057857497,-42.429880578574966,True,0.0,2024
ETHUSDT,2024-03-05 08:00:00+00:00,2024-03-05 08:00:00+00:00,2024-03-05 08:00:00+00:00,0.00101724,-1,3678.0,3683.61211308,-15.235352984296346,-45.23535298429635,True,0.0,2024
BTCUSDT,2024-03-05 16:00:00+00:00,2024-03-05 16:00:00+00:00,2024-03-05 16:00:00+00:00,0.00088148,-1,66839.8,66928.17692035601,-13.20474042811215,-43.204740428112146,True,0.0,2024
ETHUSDT,2024-03-05 16:00:00+00:00,2024-03-05 16:00:00+00:00,2024-03-05 16:00:00+00:00,0.00082409,-1,3786.85,3791.5310578247504,-12.346088567809499,-42.3460885678095,True,0.0,2024
