id,symbol,source_system,strategy,category,status,created_at,proposed_closed_at,hold_hours_used,pnl_pct,exit_reason,direction,would_apply
cta_cross_asset_tsmom::CL=F::2026-05-08_2328,CL=F,cta_replicator,cta_cross_asset_tsmom,commodity,LOST,2026-05-08 23:28:01,2026-05-10 23:28:01,48,-0.03,SL_HIT_REPLAY,SHORT,YES
cta_cross_asset_tsmom::USDJPY=X::2026-05-08_2328,USDJPY=X,cta_replicator,cta_cross_asset_tsmom,forex,LOST,2026-05-08 23:28:01,2026-05-11 11:28:01,60,-0.002,SL_HIT_REPLAY,SHORT,YES
multi_asset_cftc_cot_commercial_signal::CT=F::2026-05-08_232,CT=F,multi_asset_copytrader,cftc_cot_commercial_signal,commodity,WON,2026-05-08 23:27:59,2026-05-10 23:27:59,48,0.0463,TP_HIT_REPLAY,SHORT,YES
multi_asset_ig_contrarian_sentiment::EURJPY=X::2026-05-08_23,EURJPY=X,multi_asset_copytrader,ig_contrarian_sentiment,forex,LOST,2026-05-08 23:27:41,2026-05-11 11:27:41,60,-0.005,SL_HIT_REPLAY,LONG,YES
multi_asset_ig_contrarian_sentiment::GBPUSD=X::2026-05-08_23,GBPUSD=X,multi_asset_copytrader,ig_contrarian_sentiment,forex,WON,2026-05-08 23:27:41,2026-05-11 11:27:41,60,0.0061,TP_HIT_REPLAY,SHORT,YES
multi_asset_cot_positioning::CT=F::2026-05-08_2327,CT=F,multi_asset_cot,cot_positioning,commodity,WON,2026-05-08 23:27:32,2026-05-10 23:27:32,48,0.0463,TP_HIT_REPLAY,SHORT,YES
multi_asset_futures_momentum::CT=F::2026-05-08_2327,CT=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-08 23:27:32,2026-05-10 23:27:32,48,-0.03,SL_HIT_REPLAY,LONG,YES
multi_asset_futures_momentum::HG=F::2026-05-08_2327,HG=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-08 23:27:32,2026-05-10 23:27:32,48,-0.0264,SL_HIT_REPLAY,LONG,YES
multi_asset_forex_carry_momentum::AUDJPY=X::2026-05-08_2327,AUDJPY=X,multi_asset_copytrader,forex_carry_momentum,forex,LOST,2026-05-08 23:27:30,2026-05-11 11:27:30,60,-0.005,SL_HIT_REPLAY,LONG,YES
multi_asset_forex_carry_momentum::NZDUSD=X::2026-05-08_2327,NZDUSD=X,multi_asset_copytrader,forex_carry_momentum,forex,LOST,2026-05-08 23:27:30,2026-05-11 11:27:30,60,-0.005,SL_HIT_REPLAY,LONG,YES
cta_cross_asset_tsmom::CL=F::2026-05-08_2229,CL=F,cta_replicator,cta_cross_asset_tsmom,commodity,LOST,2026-05-08 22:29:12,2026-05-10 22:29:12,48,-0.03,SL_HIT_REPLAY,SHORT,YES
cta_cross_asset_tsmom::USDJPY=X::2026-05-08_2229,USDJPY=X,cta_replicator,cta_cross_asset_tsmom,forex,LOST,2026-05-08 22:29:12,2026-05-11 10:29:12,60,-0.002,SL_HIT_REPLAY,SHORT,YES
multi_asset_cftc_cot_commercial_signal::CT=F::2026-05-08_222,CT=F,multi_asset_copytrader,cftc_cot_commercial_signal,commodity,WON,2026-05-08 22:29:08,2026-05-10 22:29:08,48,0.0463,TP_HIT_REPLAY,SHORT,YES
multi_asset_ig_contrarian_sentiment::EURJPY=X::2026-05-08_22,EURJPY=X,multi_asset_copytrader,ig_contrarian_sentiment,forex,LOST,2026-05-08 22:28:49,2026-05-11 10:28:49,60,-0.005,SL_HIT_REPLAY,LONG,YES
multi_asset_ig_contrarian_sentiment::GBPUSD=X::2026-05-08_22,GBPUSD=X,multi_asset_copytrader,ig_contrarian_sentiment,forex,WON,2026-05-08 22:28:49,2026-05-11 10:28:49,60,0.0061,TP_HIT_REPLAY,SHORT,YES
multi_asset_cot_positioning::CT=F::2026-05-08_2228,CT=F,multi_asset_cot,cot_positioning,commodity,WON,2026-05-08 22:28:38,2026-05-10 22:28:38,48,0.0463,TP_HIT_REPLAY,SHORT,YES
multi_asset_futures_momentum::CT=F::2026-05-08_2228,CT=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-08 22:28:38,2026-05-10 22:28:38,48,-0.03,SL_HIT_REPLAY,LONG,YES
multi_asset_futures_momentum::HG=F::2026-05-08_2228,HG=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-08 22:28:38,2026-05-10 22:28:38,48,-0.0264,SL_HIT_REPLAY,LONG,YES
multi_asset_forex_carry_momentum::AUDJPY=X::2026-05-08_2228,AUDJPY=X,multi_asset_copytrader,forex_carry_momentum,forex,LOST,2026-05-08 22:28:36,2026-05-11 10:28:36,60,-0.005,SL_HIT_REPLAY,LONG,YES
multi_asset_forex_carry_momentum::NZDUSD=X::2026-05-08_2228,NZDUSD=X,multi_asset_copytrader,forex_carry_momentum,forex,LOST,2026-05-08 22:28:36,2026-05-11 10:28:36,60,-0.005,SL_HIT_REPLAY,LONG,YES
cta_cross_asset_tsmom::CL=F::2026-05-08_2130,CL=F,cta_replicator,cta_cross_asset_tsmom,commodity,LOST,2026-05-08 21:30:36,2026-05-10 21:30:36,48,-0.03,SL_HIT_REPLAY,SHORT,YES
cta_cross_asset_tsmom::USDJPY=X::2026-05-08_2130,USDJPY=X,cta_replicator,cta_cross_asset_tsmom,forex,LOST,2026-05-08 21:30:36,2026-05-11 09:30:36,60,-0.002,SL_HIT_REPLAY,SHORT,YES
multi_asset_cftc_cot_commercial_signal::CT=F::2026-05-08_213,CT=F,multi_asset_copytrader,cftc_cot_commercial_signal,commodity,WON,2026-05-08 21:30:33,2026-05-10 21:30:33,48,0.0463,TP_HIT_REPLAY,SHORT,YES
multi_asset_ig_contrarian_sentiment::EURJPY=X::2026-05-08_21,EURJPY=X,multi_asset_copytrader,ig_contrarian_sentiment,forex,LOST,2026-05-08 21:30:14,2026-05-11 09:30:14,60,-0.005,SL_HIT_REPLAY,LONG,YES
multi_asset_ig_contrarian_sentiment::GBPUSD=X::2026-05-08_21,GBPUSD=X,multi_asset_copytrader,ig_contrarian_sentiment,forex,WON,2026-05-08 21:30:14,2026-05-11 09:30:14,60,0.0061,TP_HIT_REPLAY,SHORT,YES
multi_asset_cot_positioning::CT=F::2026-05-08_2130,CT=F,multi_asset_cot,cot_positioning,commodity,WON,2026-05-08 21:30:04,2026-05-10 21:30:04,48,0.0463,TP_HIT_REPLAY,SHORT,YES
multi_asset_futures_momentum::CT=F::2026-05-08_2130,CT=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-08 21:30:04,2026-05-10 21:30:04,48,-0.03,SL_HIT_REPLAY,LONG,YES
multi_asset_futures_momentum::HG=F::2026-05-08_2130,HG=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-08 21:30:04,2026-05-10 21:30:04,48,-0.0264,SL_HIT_REPLAY,LONG,YES
multi_asset_forex_carry_momentum::AUDJPY=X::2026-05-08_2130,AUDJPY=X,multi_asset_copytrader,forex_carry_momentum,forex,LOST,2026-05-08 21:30:01,2026-05-11 09:30:01,60,-0.005,SL_HIT_REPLAY,LONG,YES
multi_asset_forex_carry_momentum::NZDUSD=X::2026-05-08_2130,NZDUSD=X,multi_asset_copytrader,forex_carry_momentum,forex,LOST,2026-05-08 21:30:01,2026-05-11 09:30:01,60,-0.005,SL_HIT_REPLAY,LONG,YES
cta_cross_asset_tsmom::CL=F::2026-05-08_2031,CL=F,cta_replicator,cta_cross_asset_tsmom,commodity,LOST,2026-05-08 20:31:41,2026-05-10 20:31:41,48,-0.03,SL_HIT_REPLAY,SHORT,YES
multi_asset_cftc_cot_commercial_signal::CT=F::2026-05-08_203,CT=F,multi_asset_copytrader,cftc_cot_commercial_signal,commodity,WON,2026-05-08 20:31:39,2026-05-10 20:31:39,48,0.0463,TP_HIT_REPLAY,SHORT,YES
multi_asset_ig_contrarian_sentiment::EURJPY=X::2026-05-08_20,EURJPY=X,multi_asset_copytrader,ig_contrarian_sentiment,forex,LOST,2026-05-08 20:31:21,2026-05-11 08:31:21,60,-0.005,SL_HIT_REPLAY,LONG,YES
multi_asset_ig_contrarian_sentiment::GBPUSD=X::2026-05-08_20,GBPUSD=X,multi_asset_copytrader,ig_contrarian_sentiment,forex,WON,2026-05-08 20:31:21,2026-05-11 08:31:21,60,0.0061,TP_HIT_REPLAY,SHORT,YES
