strategy_name,agent_id,file_path,status,sharpe,win_rate,max_drawdown,profit_factor,total_return,total_trades,duration_sec,error,pair
crypto_liquidation_flow_exhaustion_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_liquidation_flow_exhaustion_v1.py,passed,2.5177,0.5484,0.03,1.6013,0.0443,31,3.09,,BTC/USDT
crypto_liquidation_flow_exhaustion_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_liquidation_flow_exhaustion_v1.py,passed,3.6997,0.4643,0.0005,2.3742,0.0019,28,3.084,,ETH/USDT
crypto_liquidation_flow_exhaustion_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_liquidation_flow_exhaustion_v1.py,passed,6.5132,0.5238,0.0,4.051,0.0002,21,3.03,,SOL/USDT
