strategy_name,agent_id,file_path,status,sharpe,win_rate,max_drawdown,profit_factor,total_return,total_trades,duration_sec,error,pair
crypto_liquidation_flow_exhaustion_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_liquidation_flow_exhaustion_v1.py,passed,2.5177,0.5484,0.03,1.6013,0.0443,31,3.176,,BTC/USDT
crypto_whale_social_divergence_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_whale_social_divergence_v1.py,passed,3.4392,0.5351,0.0389,1.994,0.1675,114,1.873,,BTC/USDT
crypto_funding_flow_trend_router_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_funding_flow_trend_router_v1.py,passed,1.5479,0.5,0.0737,1.3645,0.0554,64,1.757,,BTC/USDT
crossasset_risk_triad_rotation_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_risk_triad_rotation_v1.py,failed,-0.4031,0.4327,0.1667,0.9211,-0.0285,104,3.54,,BTC/USDT
crossasset_spxbtc_residual_momentum_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crossasset_spxbtc_residual_momentum_v1.py,failed,-0.8724,0.4137,0.1838,0.8199,-0.1329,249,2.984,,BTC/USDT
crypto_governance_social_regime_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_governance_social_regime_v1.py,passed,1.2391,0.4867,0.0966,1.2369,0.0895,150,2.085,,BTC/USDT
crypto_mtf_impulse_alignment_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_mtf_impulse_alignment_v1.py,passed,2.5945,0.5273,0.0599,1.5457,0.1591,110,1.663,,BTC/USDT
crypto_dxy_funding_squeeze_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_dxy_funding_squeeze_v1.py,failed_insufficient_trades,0.0,0.0,1.0,0.0,0.0,0,3.966,,BTC/USDT
crypto_vix_liquidation_panicfade_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_vix_liquidation_panicfade_v1.py,failed,-2.3647,0.2857,0.0271,0.6641,-0.0159,14,3.383,,BTC/USDT
crypto_flow_whale_breakout_v1,cursor_ai,E:\findtorontoevents_antigravity.ca\incubator\agents\cursor_ai\crypto_flow_whale_breakout_v1.py,failed,1.0762,0.3333,0.0122,1.2037,0.0043,6,1.954,,BTC/USDT
