pair,strategy_name,status,sharpe,win_rate,max_drawdown,profit_factor,total_return,total_trades,duration_sec,error
BTC/USDT,crypto_donchian_adx_volume_thrust_v2,passed,2.9793,0.6087,0.019,1.7581,0.0413,23,1.992,
BTC/USDT,crypto_efficiency_ratio_channel_break_v2,passed,4.2463,0.625,0.0317,2.0852,0.0527,16,1.149,
BTC/USDT,crypto_ema_pullback_cci_reentry_v2,failed,-9.2474,0.3333,0.0047,0.2142,-0.0037,3,1.11,
BTC/USDT,crypto_range_expansion_followthrough_v2,passed,11.8361,0.6,0.0015,24.0383,0.0352,5,0.998,
BTC/USDT,crypto_rsi_failure_swing_reversal_v2,failed,0.2439,0.4299,0.0904,1.0364,0.0074,107,1.365,
BTC/USDT,crypto_swing_break_retest_v2,passed,9.9081,0.75,0.0123,4.8195,0.0679,8,0.993,
BTC/USDT,crypto_variance_ratio_regime_router_v2,passed,2.5938,0.4793,0.0913,1.566,0.2224,169,1.964,
BTC/USDT,crypto_volatility_compression_trend_thrust_v2,failed,-5.5297,0.4211,0.0515,0.4136,-0.0437,19,1.925,
BTC/USDT,crypto_volume_absorption_reversal_v2,failed_insufficient_trades,0.0,1.0,0.0,999.0,0.0138,1,1.995,
BTC/USDT,crypto_vwma_deviation_reclaim_v2,passed,2.79,0.6667,0.0048,1.4203,0.002,3,1.41,
ETH/USDT,crypto_donchian_adx_volume_thrust_v2,passed,2.474,0.5862,0.0008,1.5392,0.0013,29,2.062,
ETH/USDT,crypto_efficiency_ratio_channel_break_v2,passed,4.0799,0.6,0.0007,2.2015,0.0016,15,1.179,
ETH/USDT,crypto_ema_pullback_cci_reentry_v2,failed,-6.9082,0.4545,0.0006,0.2666,-0.0005,11,1.082,
ETH/USDT,crypto_range_expansion_followthrough_v2,passed,9.3287,0.6,0.0,29.4133,0.0011,5,0.934,
ETH/USDT,crypto_rsi_failure_swing_reversal_v2,failed,-2.6298,0.2967,0.004,0.605,-0.0034,91,1.284,
ETH/USDT,crypto_swing_break_retest_v2,failed,-0.7079,0.5,0.0006,0.8833,-0.0002,12,1.002,
ETH/USDT,crypto_variance_ratio_regime_router_v2,failed,4.1315,0.4326,0.0041,2.3019,0.0191,178,1.948,
ETH/USDT,crypto_volatility_compression_trend_thrust_v2,passed,2.5381,0.45,0.0012,1.6914,0.0013,20,1.402,
ETH/USDT,crypto_volume_absorption_reversal_v2,passed,5.9472,0.5,0.0004,3.914,0.0013,8,1.832,
ETH/USDT,crypto_vwma_deviation_reclaim_v2,failed_insufficient_trades,0.0,1.0,0.0,999.0,0.0005,1,1.36,
SOL/USDT,crypto_donchian_adx_volume_thrust_v2,failed,3.0416,0.4348,0.0,1.6636,0.0001,23,1.922,
SOL/USDT,crypto_efficiency_ratio_channel_break_v2,failed,2.0498,0.3333,0.0,1.3472,0.0,6,1.118,
SOL/USDT,crypto_ema_pullback_cci_reentry_v2,passed,11.0714,0.8,0.0,11.0,0.0,5,1.021,
SOL/USDT,crypto_range_expansion_followthrough_v2,passed,11.6559,0.75,0.0,74.47,0.0001,8,0.892,
SOL/USDT,crypto_rsi_failure_swing_reversal_v2,passed,2.4101,0.5096,0.0001,1.616,0.0001,104,1.244,
SOL/USDT,crypto_swing_break_retest_v2,failed,-4.2406,0.25,0.0,0.5113,-0.0,8,0.956,
SOL/USDT,crypto_variance_ratio_regime_router_v2,passed,3.862,0.5437,0.0003,1.8463,0.0007,160,1.812,
SOL/USDT,crypto_volatility_compression_trend_thrust_v2,failed,0.2406,0.375,0.0001,1.0436,0.0,24,1.387,
SOL/USDT,crypto_volume_absorption_reversal_v2,passed,6.9233,0.5556,0.0,4.8333,0.0001,9,1.776,
SOL/USDT,crypto_vwma_deviation_reclaim_v2,failed_insufficient_trades,-8.1308,0.5,0.0,0.3226,-0.0,2,1.335,
