id,symbol,source_system,strategy,category,status,created_at,proposed_closed_at,hold_hours_used,pnl_pct,exit_reason,direction,would_apply
cta_commodity_momentum_term::ZC=F::2026-05-15_2327,ZC=F,cta_replicator,cta_commodity_momentum_term,commodity,LOST,2026-05-15 23:27:48,2026-05-17 23:27:48,48,-0.0396,SL_HIT_REPLAY,SHORT,YES
cta_cross_asset_tsmom::AUDUSD=X::2026-05-15_2327,AUDUSD=X,cta_replicator,cta_cross_asset_tsmom,forex,LOST,2026-05-15 23:27:48,2026-05-18 11:27:48,60,-0.002,SL_HIT_REPLAY,SHORT,YES
multi_asset_cftc_cot_commercial_signal::CT=F::2026-05-15_232,CT=F,multi_asset_copytrader,cftc_cot_commercial_signal,commodity,WON,2026-05-15 23:27:45,2026-05-17 23:27:45,48,0.0841,TP_HIT_REPLAY,SHORT,YES
multi_asset_cot_positioning::CT=F::2026-05-15_2327,CT=F,multi_asset_cot,cot_positioning,commodity,WON,2026-05-15 23:27:19,2026-05-17 23:27:19,48,0.0841,TP_HIT_REPLAY,SHORT,YES
multi_asset_futures_momentum::CT=F::2026-05-15_2327,CT=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-15 23:27:18,2026-05-17 23:27:18,48,-0.03,SL_HIT_REPLAY,LONG,YES
multi_asset_futures_momentum::GC=F::2026-05-15_2327,GC=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-15 23:27:18,2026-05-17 23:27:18,48,-0.0257,SL_HIT_REPLAY,SHORT,YES
multi_asset_futures_momentum::KC=F::2026-05-15_2327,KC=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-15 23:27:18,2026-05-17 23:27:18,48,-0.03,SL_HIT_REPLAY,SHORT,YES
multi_asset_futures_momentum::PL=F::2026-05-15_2327,PL=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-15 23:27:18,2026-05-17 23:27:18,48,-0.03,SL_HIT_REPLAY,SHORT,YES
multi_asset_futures_momentum::SI=F::2026-05-15_2327,SI=F,multi_asset_copytrader,futures_momentum,commodity,LOST,2026-05-15 23:27:18,2026-05-17 23:27:18,48,-0.03,SL_HIT_REPLAY,SHORT,YES
cta_commodity_momentum_term::ZC=F::2026-05-15_2229,ZC=F,cta_replicator,cta_commodity_momentum_term,commodity,LOST,2026-05-15 22:29:39,2026-05-17 22:29:39,48,-0.0396,SL_HIT_REPLAY,SHORT,YES
cta_cross_asset_tsmom::AUDUSD=X::2026-05-15_2229,AUDUSD=X,cta_replicator,cta_cross_asset_tsmom,forex,LOST,2026-05-15 22:29:39,2026-05-18 10:29:39,60,-0.002,SL_HIT_REPLAY,SHORT,YES
multi_asset_cftc_cot_commercial_signal::CT=F::2026-05-15_222,CT=F,multi_asset_copytrader,cftc_cot_commercial_signal,commodity,WON,2026-05-15 22:29:36,2026-05-17 22:29:36,48,0.0841,TP_HIT_REPLAY,SHORT,YES
