Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-11-03T05:00:00.000Z,681.7878948104,681.9171636388,676.0903560258,679.4711303711,57315000,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-04T05:00:00.000Z,672.2820616639,676.1103005794,670.7607556049,671.4169921875,78427000,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-05T05:00:00.000Z,671.1583975729,677.0051112075,670.352986036,673.7437133789,74402400,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-06T05:00:00.000Z,672.6399897028,673.5448715273,664.9338680035,666.5148925781,85035300,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-07T05:00:00.000Z,664.1284090392,667.2805048705,657.4663915648,667.171081543,100592400,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-10T05:00:00.000Z,673.4056760856,678.3177098283,671.2082272334,677.5819091797,75842900,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-11T05:00:00.000Z,676.100276211,679.6997756664,674.8871520395,679.1329956055,58953400,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-12T05:00:00.000Z,680.9128544583,681.0819356538,677.0946296424,679.5108642578,62312500,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-13T05:00:00.000Z,676.647169713,677.0051169125,666.7236935367,668.2350463867,103457800,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-14T05:00:00.000Z,661.6128286384,671.8345948923,659.5147893727,668.1257324219,96846700,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-17T05:00:00.000Z,665.9083353082,669.8956413839,658.4209391868,661.9011230469,90456100,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-18T05:00:00.000Z,658.3513565465,661.3542775985,652.1466953366,656.3428344727,114467500,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-19T05:00:00.000Z,657.0389163187,663.5617733904,655.0203803609,658.8784179688,94703000,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-20T05:00:00.000Z,669.100129111,671.7351497651,648.1991802397,648.8355712891,165293500,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-21T05:00:00.000Z,651.3412595795,660.7874729698,647.1650267848,655.2987670898,123956200,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-24T05:00:00.000Z,658.9380055467,666.266273463,657.844257767,664.9437866211,80437900,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-25T05:00:00.000Z,664.8443455838,672.3814460202,660.7178178397,671.1981811523,81077100,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-26T05:00:00.000Z,673.7934667684,677.8404309303,672.8885849297,675.8318481445,71879600,0.0,0.0,0.0,SPY,NA,NA,USD
2025-11-28T05:00:00.000Z,677.0051081523,679.7991961322,676.6471609574,679.5208129883,49212000,0.0,0.0,0.0,SPY,NA,NA,USD
2025-12-01T05:00:00.000Z,674.966762336,679.1230890446,674.897151374,676.4185180664,61201200,0.0,0.0,0.0,SPY,NA,NA,USD
2025-12-02T05:00:00.000Z,678.0591325179,679.9483994968,675.4838303983,677.6713867188,62953800,0.0,0.0,0.0,SPY,NA,NA,USD
2025-12-03T05:00:00.000Z,676.716795074,681.0321891246,675.8417725524,680.0180053711,57238500,0.0,0.0,0.0,SPY,NA,NA,USD
2025-12-04T05:00:00.000Z,681.4199577793,681.4895687362,677.4824173402,680.5151367188,61970300,0.0,0.0,0.0,SPY,NA,NA,USD
2025-12-05T05:00:00.000Z,681.5890143183,684.4925257186,680.7040993958,681.807800293,79241000,0.0,0.0,0.0,SPY,NA,NA,USD
2025-12-08T05:00:00.000Z,682.7027235077,682.7524282821,677.7111260886,679.7594604492,55231500,0.0,0.0,0.0,SPY,NA,NA,USD
2025-12-09T05:00:00.000Z,679.2821528162,681.5094606319,678.7253258623,679.1727294922,58310100,0.0,0.0,0.0,SPY,NA,NA,USD
2025-12-10T05:00:00.000Z,678.6955405174,685.0692222503,677.4526176554,683.6771850586,85671300,0.0,0.0,0.0,SPY,NA,NA,USD
2025-12-11T05:00:00.000Z,681.2609148662,685.3476304584,678.3076987411,685.2680664062,86173700,0.0,0.0,0.0,SPY,NA,NA,USD
