Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-11-03T05:00:00.000Z,87.6471117823,87.8427060061,87.451510097,87.764465332,40752300,0.325,0.0,0.0,TLT,NA,NA,USD
2025-11-04T05:00:00.000Z,87.8035863995,88.0774212997,87.7644660621,87.960067749,26383800,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-05T05:00:00.000Z,87.539527969,87.5786483039,86.9233920206,87.0016326904,44643400,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-06T05:00:00.000Z,87.5884330315,87.8720498968,87.5590946422,87.784034729,33027400,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-07T05:00:00.000Z,87.3928370137,87.8916120054,87.3928370137,87.5982131958,28530100,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-10T05:00:00.000Z,87.5199824416,87.696020255,87.4221853144,87.578666687,24093500,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-11T05:00:00.000Z,87.9698399378,88.0872009468,87.8035841043,87.9796218872,18942300,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-12T05:00:00.000Z,87.9698527088,88.3317102766,87.9013939756,88.1361160278,23594900,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-13T05:00:00.000Z,87.8231514799,87.9600689319,87.4123916626,87.4123916626,33825900,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-14T05:00:00.000Z,87.8133653398,87.8622601638,86.9136199951,86.9136199951,38550500,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-17T05:00:00.000Z,87.1189944332,87.3341525464,87.0211973257,87.1287689209,25605800,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-18T05:00:00.000Z,87.3830583987,87.4808555185,86.8451705092,87.0994415283,31967400,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-19T05:00:00.000Z,87.2657096385,87.3439428618,86.8940701169,86.9234085083,25782400,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-20T05:00:00.000Z,87.0309868711,87.4515212212,87.0309868711,87.2657089233,32945000,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-21T05:00:00.000Z,87.6764540438,87.6960104824,87.2363558285,87.5297546387,41938600,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-24T05:00:00.000Z,87.9698496938,88.0872107159,87.8035938419,88.0285339355,30865700,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-25T05:00:00.000Z,88.3219301091,88.5957650475,88.1458922971,88.2534713745,36503300,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-26T05:00:00.000Z,88.1654498421,88.6446609497,87.8524945835,88.6446609497,34099000,0.0,0.0,0.0,TLT,NA,NA,USD
2025-11-28T05:00:00.000Z,88.4686176074,88.5370763328,87.9698426303,88.2241210938,40704300,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-01T05:00:00.000Z,87.2043745795,87.3417809884,87.0669681707,87.1258544922,47086600,0.321,0.0,0.0,TLT,NA,NA,USD
2025-12-02T05:00:00.000Z,86.9393718536,87.3123310073,86.8215917318,87.1651077271,27605700,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-03T05:00:00.000Z,87.2730702875,87.5086305294,87.0964038502,87.4104766846,23278600,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-04T05:00:00.000Z,87.2632665686,87.282892846,86.8412304679,86.9393768311,25541500,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-05T05:00:00.000Z,86.9099234062,86.9099234062,86.4191841605,86.5369567871,32808100,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-08T05:00:00.000Z,86.556590389,86.5663997825,85.9382541482,86.2523269653,32255200,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-09T05:00:00.000Z,86.7038099894,86.7136268713,86.213070723,86.3406677246,25771800,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-10T05:00:00.000Z,86.3701138526,86.8804794124,86.2327074523,86.674369812,46833500,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-11T05:00:00.000Z,87.0473417913,87.1847482,86.5271593173,86.556602478,26778700,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-12T05:00:00.000Z,85.7616034902,85.8793836263,85.5751276348,85.7223434448,47030100,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-15T05:00:00.000Z,86.0953076069,86.2523402957,85.7714178581,85.7812347412,28611800,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-16T05:00:00.000Z,85.5751118994,86.2915870035,85.5554781363,86.2523269653,41018700,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-17T05:00:00.000Z,86.006955835,86.3602886841,85.9578864042,86.1738128662,24668300,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-18T05:00:00.000Z,86.4977073427,86.7430769956,86.4388210222,86.5860443115,39048900,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-19T05:00:00.000Z,86.3219786475,86.4697748857,86.1249220082,86.2628631592,37858100,0.342,0.0,0.0,TLT,NA,NA,USD
2025-12-22T05:00:00.000Z,86.1347685638,86.1741813947,85.9672696706,86.0756530762,25547100,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-23T05:00:00.000Z,85.7899140025,86.2924181895,85.7505011724,86.2135925293,33624100,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-24T05:00:00.000Z,86.4697820891,86.7850772487,86.3613986733,86.7358093262,25942000,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-26T05:00:00.000Z,86.8047659204,86.8737364906,86.3121168431,86.4500579834,26522700,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-29T05:00:00.000Z,86.6569842737,86.7752227783,86.4993404514,86.7752227783,29399800,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-30T05:00:00.000Z,86.4500598525,86.7456523122,86.3810892809,86.5682983398,25106800,0.0,0.0,0.0,TLT,NA,NA,USD
2025-12-31T05:00:00.000Z,86.3909528685,86.6175747789,85.8490358116,85.8786010742,36500000,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-02T05:00:00.000Z,86.1150742523,86.1249293402,85.7406560815,85.7505111694,40731300,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-05T05:00:00.000Z,85.8983043908,86.2333021979,85.8293338118,86.1741867065,30178000,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-06T05:00:00.000Z,85.8687401114,86.0559416587,85.62241556,85.9968261719,39015200,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-07T05:00:00.000Z,86.548596646,86.7161030654,86.1938961837,86.4993362427,39930900,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-08T05:00:00.000Z,86.0461008698,86.2628676948,85.967275203,86.0658035278,28204900,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-09T05:00:00.000Z,86.0165329278,86.7062386374,85.8391789572,86.6372680664,57348800,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-12T05:00:00.000Z,86.2135969876,86.6175728789,86.1249237533,86.3810958862,36103100,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-13T05:00:00.000Z,86.5880080069,86.6175732691,86.2530102082,86.5288925171,30451400,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-14T05:00:00.000Z,86.6175790968,87.1299309166,86.5978689207,87.0314025879,39233500,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-15T05:00:00.000Z,87.3368384672,87.3565486423,87.0116882324,87.0116882324,37988900,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-16T05:00:00.000Z,86.8343208289,87.0215298777,86.4204974216,86.5091781616,46382400,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-20T05:00:00.000Z,85.3563884573,85.7505092781,85.2677152192,85.3760986328,66009500,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-21T05:00:00.000Z,85.5238933673,86.1938964957,85.3465393769,86.0263900757,51220100,0.0,0.0,0.0,TLT,NA,NA,USD
2026-01-22T05:00:00.000Z,85.9869716502,86.4697731865,85.8588855888,86.4008026123,42419300,0.0,0.0,0.0,TLT,NA,NA,USD
