Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,thscode,thsname_cn,thsname_en,currency
2025-12-16T05:00:00.000Z,272.5649667836,275.2424541197,271.5359308789,274.3532714844,37648600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-17T05:00:00.000Z,274.7529265192,275.9018453851,271.3860817211,271.5858764648,50138700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-18T05:00:00.000Z,273.3542023207,273.3742031368,266.7004552213,271.935546875,51630700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-19T05:00:00.000Z,271.8955859651,274.3433078817,269.6476892826,273.4141845703,144632000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-22T05:00:00.000Z,272.6048920134,273.6239579413,270.2571133898,270.7166748047,36571800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-23T05:00:00.000Z,270.586809103,272.2452609569,269.308006895,272.1053771973,29642000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-24T05:00:00.000Z,272.0853891778,275.1724967179,271.9455359163,273.5540161133,17910600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-26T05:00:00.000Z,273.9037084593,275.1125687683,272.6049054553,273.1444091797,21521800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-29T05:00:00.000Z,272.4350823114,274.1035040633,272.095403814,273.5040893555,23715200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-30T05:00:00.000Z,272.5549704076,273.8237722152,272.0254670797,272.8247070312,22139600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2025-12-31T05:00:00.000Z,272.8047253274,273.4241408374,271.49595243,271.6058349609,27293600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-02T05:00:00.000Z,272.0054842547,277.58025431,268.748522148,270.756652832,37838100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-05T05:00:00.000Z,270.3870074465,271.2561892507,265.8912142612,267.0101623535,45647200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-06T05:00:00.000Z,266.7503924619,267.2998660935,261.874949699,262.1147155762,52352100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-07T05:00:00.000Z,262.9539513876,263.4334831315,259.5671060012,260.0866088867,48309800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-08T05:00:00.000Z,256.7797203953,259.0476178563,255.460962291,258.7978515625,50419300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-09T05:00:00.000Z,258.8377955175,259.9667440583,255.9804837143,259.127532959,39997000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-12T05:00:00.000Z,258.9177364764,261.0557201137,256.5599267903,260.0067138672,45263800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-13T05:00:00.000Z,258.4781303943,261.5652379723,258.1484523182,260.8059387207,45730800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-14T05:00:00.000Z,259.2474181185,261.5752571005,256.4700180914,259.7169799805,40019400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-15T05:00:00.000Z,260.4063187564,260.79596879,256.8096782083,257.9685974121,39388600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-16T05:00:00.000Z,257.6589020183,258.6579671913,254.6916772349,255.2911224365,72142800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-20T05:00:00.000Z,252.4937373957,254.551809217,243.1924430561,246.4693756104,80267500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-21T05:00:00.000Z,248.4675090444,251.32483609,244.9507953165,247.4184875488,54641700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-22T05:00:00.000Z,248.9670398845,250.7653602579,247.9180183962,248.1178436279,39708300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-23T05:00:00.000Z,247.0888078224,249.1768503915,244.4512611104,247.8081207275,41689000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-26T05:00:00.000Z,251.2449001563,256.3201529578,249.5664780184,255.1712341309,55969200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-27T05:00:00.000Z,258.9277169221,261.7051166971,257.9685924683,258.0285339355,49648300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-28T05:00:00.000Z,257.4091472417,258.6180076182,254.2720830679,256.2002868652,41288000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-29T05:00:00.000Z,257.7588066809,259.4072580677,254.1721664792,258.0385437012,67253000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-01-30T05:00:00.000Z,254.9314433111,261.6551472598,251.9442331322,259.2374267578,92443400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-02T05:00:00.000Z,259.7869174093,270.2371306501,258.9676766448,269.757598877,73913400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-03T05:00:00.000Z,268.9483513557,271.6258386481,267.3598109322,269.2280883789,64394700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-04T05:00:00.000Z,272.0354511207,278.6892285045,272.0354511207,276.2315063477,90545700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-05T05:00:00.000Z,277.8699949435,279.2387093203,272.9745818082,275.6520690918,52977400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-06T05:00:00.000Z,276.860920235,280.6473855638,276.6710954237,277.8599853516,50453400,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-09T05:00:00.000Z,277.9100036621,278.200012207,271.700012207,274.6199951172,44623400,0.26,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-10T05:00:00.000Z,274.8900146484,275.3699951172,272.9400024414,273.6799926758,34376900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-11T05:00:00.000Z,274.700012207,280.1799926758,274.450012207,275.5,51931300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-12T05:00:00.000Z,275.5899963379,275.7200012207,260.1799926758,261.7300109863,81077200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-13T05:00:00.000Z,262.0100097656,262.2300109863,255.4499969482,255.7799987793,56290700,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-17T05:00:00.000Z,258.049987793,266.2900085449,255.5399932861,263.8800048828,58469100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-18T05:00:00.000Z,263.6000061035,266.8200073242,262.450012207,264.3500061035,34203300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-19T05:00:00.000Z,262.6000061035,264.4800109863,260.049987793,260.5799865723,30845300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-20T05:00:00.000Z,258.9700012207,264.75,258.1600036621,264.5799865723,42070500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-23T05:00:00.000Z,263.4899902344,269.4299926758,263.3800048828,266.1799926758,37308200,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-24T05:00:00.000Z,267.8599853516,274.8900146484,267.7099914551,272.1400146484,47014600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-25T05:00:00.000Z,271.7799987793,274.9400024414,271.049987793,274.2300109863,33714300,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-26T05:00:00.000Z,274.950012207,276.1099853516,270.799987793,272.950012207,32345100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-02-27T05:00:00.000Z,272.8099975586,272.8099975586,262.8900146484,264.1799926758,72366500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-02T05:00:00.000Z,262.4100036621,266.5299987793,260.200012207,264.7200012207,41827900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-03T05:00:00.000Z,263.4800109863,265.5599975586,260.1300048828,263.75,38568900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-04T05:00:00.000Z,264.6499938965,266.1499938965,261.4200134277,262.5199890137,39803100,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-05T05:00:00.000Z,260.7900085449,261.5599975586,257.25,260.2900085449,49658600,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-06T05:00:00.000Z,258.6300048828,258.7699890137,254.3699951172,257.4599914551,41120000,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-09T04:00:00.000Z,255.6900024414,261.1499938965,253.6799926758,259.8800048828,38218500,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-10T04:00:00.000Z,257.6499938965,262.4800109863,256.950012207,260.8299865723,30590800,0.0,0.0,AAPL,苹果,Apple Inc.,USD
2026-03-11T04:00:00.000Z,261.0899963379,262.1300048828,259.549987793,260.8099975586,26218900,0.0,0.0,AAPL,苹果,Apple Inc.,USD
