Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,thscode,thsname_cn,thsname_en,currency
2025-11-03T05:00:00.000Z,94.6086425097,94.746011857,94.5595863063,94.6871414185,8012500,0.304,0.0,0.0,IEF,NA,NA,USD
2025-11-04T05:00:00.000Z,94.7558298023,94.853949699,94.7362088174,94.8048934937,6119000,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-05T05:00:00.000Z,94.6380839754,94.6577124469,94.3240958059,94.3535385132,11749200,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-06T05:00:00.000Z,94.706765096,94.9030123733,94.6969583466,94.8343276978,7665000,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-07T05:00:00.000Z,94.7460183257,95.0403855105,94.736211576,94.8735809326,11460300,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-10T05:00:00.000Z,94.7558240616,94.8343229686,94.6969536243,94.7460098267,9097300,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-11T05:00:00.000Z,94.9913110686,95.0698099738,94.9128196495,95.0403747559,4937700,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-12T05:00:00.000Z,94.9913205106,95.1286898653,94.9618852898,95.060005188,7188200,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-13T05:00:00.000Z,94.8343267519,94.9815103369,94.7852630615,94.7852630615,46965300,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-14T05:00:00.000Z,95.0600097095,95.109073404,94.6086521674,94.6282806396,11288500,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-17T05:00:00.000Z,94.7263918195,94.804890729,94.6773281295,94.7362060547,6648500,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-18T05:00:00.000Z,95.020751219,95.1090643634,94.7558267578,94.893196106,8769000,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-19T05:00:00.000Z,94.9913208726,95.0403845649,94.7852668397,94.8245162964,13075900,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-20T05:00:00.000Z,94.9226388069,95.1286928454,94.8833893492,95.050201416,9076400,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-21T05:00:00.000Z,95.3641891479,95.4034386055,95.1777560961,95.3641891479,12551100,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-24T05:00:00.000Z,95.4623039637,95.5309886392,95.3543698327,95.5113601685,6903900,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-25T05:00:00.000Z,95.609484366,95.8645945888,95.5996701309,95.7566604614,9193400,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-26T05:00:00.000Z,95.6487413668,95.8351669312,95.5015577737,95.8351669312,7747100,0.0,0.0,0.0,IEF,NA,NA,USD
2025-11-28T05:00:00.000Z,95.7959206042,95.8155490765,95.5604313391,95.6683654785,7798000,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-01T05:00:00.000Z,95.2333717892,95.3022599487,95.1448045163,95.1546478271,9898100,0.288,0.0,0.0,IEF,NA,NA,USD
2025-12-02T05:00:00.000Z,95.1251291586,95.2825845973,95.0660767994,95.2333755493,7317200,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-03T05:00:00.000Z,95.390832935,95.489243517,95.2727357317,95.4301986694,6855100,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-04T05:00:00.000Z,95.2825759822,95.2924192925,95.0857548246,95.1349563599,8928900,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-05T05:00:00.000Z,95.1546563071,95.1644921106,94.8889394481,94.9381484985,9118700,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-08T05:00:00.000Z,94.8791015855,94.8889373888,94.5641756829,94.741317749,14728300,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-09T05:00:00.000Z,94.8790986695,94.8790986695,94.583859399,94.6035385132,8509200,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-10T05:00:00.000Z,94.5641744174,94.9381451676,94.5543386143,94.9086227417,13356900,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-11T05:00:00.000Z,95.1448004925,95.1940095364,94.8889269788,94.9184494019,8672800,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-12T05:00:00.000Z,94.6625900269,94.7413139911,94.6429034046,94.6625900269,8348700,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-15T05:00:00.000Z,94.8791015855,94.977512176,94.7216386342,94.741317749,6117000,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-16T05:00:00.000Z,94.7117950231,95.0267134165,94.7019592199,95.0070343018,7456400,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-17T05:00:00.000Z,94.8889246279,95.0365442478,94.8692455157,94.9873352051,5673200,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-18T05:00:00.000Z,95.2333755493,95.2924279085,95.1054425361,95.2333755493,7357600,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-19T05:00:00.000Z,95.0783632386,95.1672179035,94.9796257896,95.0191192627,5806600,0.313,0.0,0.0,IEF,NA,NA,USD
2025-12-22T05:00:00.000Z,94.9401377705,94.9697559915,94.8611508261,94.9203872681,4672800,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-23T05:00:00.000Z,94.7130635239,94.9105233759,94.6636947946,94.8809051514,5093900,0.0,0.0,0.0,IEF,NA,NA,USD
2025-12-24T05:00:00.000Z,94.9993831759,95.1474818275,94.9500144479,95.1277313232,3967700,0.0,0.0,0.0,IEF,NA,NA,USD
