open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base_volume,taker_buy_quote_volume,symbol,open_time_formatted,close_time_formatted
1751155200000,107296.79,108528.5,107172.52,108356.93,6831.7364,1751241599999,736708189.9495684,1223202,3771.10895,406653127.0920804,BTCUSDT,2025-06-29,2025-06-29 23:59:59.999
1751241600000,108356.93,108789.99,106733.33,107146.5,9754.12491,1751327999999,1050407152.345058,1773485,4331.3813,466474537.7882122,BTCUSDT,2025-06-30,2025-06-30 23:59:59.999
1751328000000,107146.51,107540.0,105250.85,105681.14,10505.62437,1751414399999,1117432945.8926365,2013289,4648.91727,494549276.1837785,BTCUSDT,2025-07-01,2025-07-01 23:59:59.999
1751414400000,105681.13,109730.0,105100.19,108849.6,17691.89592,1751500799999,1915699005.8772898,2444708,9248.43029,1002261738.2088752,BTCUSDT,2025-07-02,2025-07-02 23:59:59.999
1751500800000,108849.59,110529.18,108530.4,109584.78,13047.08225,1751587199999,1429459048.6383262,2568944,6961.89686,763022147.911677,BTCUSDT,2025-07-03,2025-07-03 23:59:59.999
1751587200000,109584.77,109767.59,107245.0,107984.24,11793.86615,1751673599999,1276215111.6683652,1975212,4787.79822,518313226.966756,BTCUSDT,2025-07-04,2025-07-04 23:59:59.999
1751673600000,107984.25,108420.56,107756.31,108198.12,3736.9757,1751759999999,403928702.1967476,710020,1803.68528,194976807.3633011,BTCUSDT,2025-07-05,2025-07-05 23:59:59.999
1751760000000,108198.12,109700.0,107800.01,109203.84,6447.607,1751846399999,700733299.5112199,1256591,3209.35902,348780644.233174,BTCUSDT,2025-07-06,2025-07-06 23:59:59.999
1751846400000,109203.85,109700.0,107513.2,108262.94,9405.37601,1751932799999,1020848316.0537041,1961940,3920.92229,425664101.8022387,BTCUSDT,2025-07-07,2025-07-07 23:59:59.999
1751932800000,108262.94,109216.56,107429.57,108922.98,9216.0208,1752019199999,1000112813.4398943,1723244,4371.98866,474674358.9974899,BTCUSDT,2025-07-08,2025-07-08 23:59:59.999
1752019200000,108922.99,111999.79,108324.53,111233.99,17282.2865,1752105599999,1902054744.194924,2328484,8935.70327,983405508.7482138,BTCUSDT,2025-07-09,2025-07-09 23:59:59.999
1752105600000,111234.0,116868.0,110500.0,116010.0,24883.450665,1752191999999,2826460280.4452233,3227017,12900.135467,1465777460.9410756,BTCUSDT,2025-07-10,2025-07-10 23:59:59.999
1752192000000,116010.01,118869.98,115222.22,117527.66,25873.521148,1752278399999,3039521803.027247,3708194,12502.931168,1468374333.9502122,BTCUSDT,2025-07-11,2025-07-11 23:59:59.999
1752278400000,117527.66,118200.0,116900.05,117420.0,8446.60437,1752364799999,993093353.4068904,1441851,3784.55219,444996040.9059787,BTCUSDT,2025-07-12,2025-07-12 23:59:59.999
1752364800000,117420.0,119488.0,117224.79,119086.64,9550.792947,1752451199999,1132096857.0116916,1650283,4766.474307,565024389.3723919,BTCUSDT,2025-07-13,2025-07-13 23:59:59.999
1752451200000,119086.65,123218.0,118905.18,119841.18,27269.348877,1752537599999,3299746181.0770736,4076133,14099.580747,1705505292.664724,BTCUSDT,2025-07-14,2025-07-14 23:59:59.999
1752537600000,119841.17,119940.83,115736.92,117758.09,32018.46083,1752623999999,3755258445.553272,3805374,15667.30508,1837578524.9238648,BTCUSDT,2025-07-15,2025-07-15 23:59:59.999
1752624000000,117758.08,120063.84,117017.29,118630.43,17039.90851,1752710399999,2023850383.7234874,2429625,8355.96881,992430971.3675903,BTCUSDT,2025-07-16,2025-07-16 23:59:59.999
1752710400000,118630.44,120998.71,117453.57,119177.56,15728.57651,1752796799999,1869114355.1231644,2347985,7696.17927,914659207.5744278,BTCUSDT,2025-07-17,2025-07-17 23:59:59.999
1752796800000,119177.56,120820.71,116812.76,117924.84,19924.66266,1752883199999,2367355518.470308,2805236,8951.37863,1063782057.4785626,BTCUSDT,2025-07-18,2025-07-18 23:59:59.999
1752883200000,117924.84,118499.9,117277.34,117840.0,6635.80306,1752969599999,783327898.4969696,1133382,2978.3832,351626384.0502903,BTCUSDT,2025-07-19,2025-07-19 23:59:59.999
1752969600000,117840.01,118856.8,116467.02,117265.12,12962.92889,1753055999999,1528864683.816082,1615935,6581.33371,776457462.9818254,BTCUSDT,2025-07-20,2025-07-20 23:59:59.999
