symbol,price,price_change,price_change_percent,volume,quote_volume,high,low,open,weighted_avg_price,count,timestamp
LTCUSDT,56.43,1.93,3.541,520806.201,29314908.34024,57.66,54.36,54.5,56.28755626,314458,2026-03-05 11:48:30
SOLUSDT,89.94,4.34,5.07,6149688.88,555344168.65067,94.05,84.78,85.6,90.3044332,2219732,2026-03-05 11:48:30
ETHUSDT,2112.57,156.55,8.003,729667.2612,1530174373.651009,2199.0,1950.65,1956.02,2097.08514417,9327884,2026-03-05 11:48:30
BTCUSDT,72411.79,4786.74,7.078,44201.76451,3167626737.3143187,74050.0,67467.6,67625.05,71662.90243001,8471666,2026-03-05 11:48:30
DOGEUSDT,0.09611,0.00697,7.819,2342257201.0,227623355.03788,0.10434,0.08872,0.08914,0.0971812,2188235,2026-03-05 11:48:30
XRPUSDT,1.4197,0.071,5.264,235201260.3,334706379.12841,1.4732,1.3452,1.3487,1.42306371,1307631,2026-03-05 11:48:30
